title,year,metacritic_score,metacritic_rank,oscars_nom,oscars_win,min_oscar_nom_metacritic_score,min_oscar_nom_rank,oscar_win_metacritic_score,oscar_win_rank,tie_rank
American Honey,2016,80,62,0,0,69.0,220.0,99.0,1.0,4
American Hustle,2013,90,10,1,0,75.0,95.0,96.0,1.0,2
American Psycho,2000,64,124,0,0,64.0,126.0,67.0,110.0,4
American Sniper,2014,73,134,1,0,71.0,166.0,87.0,16.0,7
American Splendor,2003,90,5,0,0,72.0,73.0,94.0,1.0,1
American Swing,2009,59,200,0,0,53.0,242.0,95.0,1.0,5
American Symphony,2023,76,118,0,0,77.0,109.0,89.0,12.0,9
American Teacher,2011,60,264,0,0,46.0,409.0,89.0,5.0,6
American Teen,2008,66,131,0,0,58.0,199.0,84.0,10.0,6
American Underdog,2021,53,405,0,0,49.0,437.0,72.0,171.0,10
American Violet,2009,56,216,0,0,53.0,242.0,95.0,1.0,2
American Woman,2019,68,237,0,0,58.0,353.0,96.0,1.0,19
American: The Bill Hicks Story,2011,55,327,0,0,46.0,409.0,89.0,5.0,9
Amigo,2011,63,238,0,0,46.0,409.0,89.0,5.0,12
Ammonite,2020,72,157,0,0,72.0,170.0,88.0,12.0,1
Among the Believers,2016,74,147,0,0,69.0,220.0,99.0,1.0,21
Amores Perros,2001,83,23,0,0,66.0,123.0,72.0,79.0,2
Amour,2012,95,2,1,0,63.0,234.0,86.0,12.0,1
Amreeka,2009,73,92,0,0,53.0,242.0,95.0,1.0,10
Amy,2015,85,28,0,0,76.0,119.0,93.0,6.0,1
Amélie,2001,69,97,0,0,66.0,123.0,72.0,79.0,1
An Affair of Love,2000,67,112,0,0,64.0,126.0,67.0,110.0,3
An Easy Girl,2020,79,70,0,0,72.0,170.0,88.0,12.0,4
An Education,2009,85,13,1,0,53.0,242.0,95.0,1.0,1
An Elephant Sitting Still,2019,86,19,0,0,58.0,353.0,96.0,1.0,2
An Evening with Beverly Luff Linn,2018,54,427,0,0,49.0,490.0,69.0,224.0,2
An Honest Liar,2015,76,116,0,0,76.0,119.0,93.0,6.0,5
An Inconvenient Truth,2006,75,59,0,0,69.0,126.0,85.0,15.0,2
An Ordinary Man,2018,52,458,0,0,49.0,490.0,69.0,224.0,7
An Oversimplification of Her Beauty,2013,74,115,0,0,75.0,95.0,96.0,1.0,14
Anatomy of a Fall,2023,86,22,1,0,77.0,109.0,89.0,12.0,2
Anaïs in Love,2022,73,165,0,0,63.0,296.0,81.0,51.0,13
Anchor and Hope,2018,67,261,0,0,49.0,490.0,69.0,224.0,8
And Everything Is Going Fine,2010,76,54,0,0,74.0,75.0,88.0,8.0,2
Andy Warhol: A Documentary Film,2006,86,14,0,0,69.0,126.0,85.0,15.0,3
Angels Are Made of Light,2019,82,49,0,0,58.0,353.0,96.0,1.0,9
Angels Wear White,2018,78,90,0,0,49.0,490.0,69.0,224.0,1
Aniara,2019,61,309,0,0,58.0,353.0,96.0,1.0,1
Animal Factory,2000,65,117,0,0,64.0,126.0,67.0,110.0,1
Animal Kingdom,2010,83,20,0,0,74.0,75.0,88.0,8.0,4
Anita O'Day: The Life of a Jazz Singer,2008,76,57,0,0,58.0,199.0,84.0,10.0,3
Anna Karenina,2012,63,232,0,0,63.0,234.0,86.0,12.0,6
Anna and the Apocalypse,2018,63,314,0,0,49.0,490.0,69.0,224.0,1
"Anne at 13,000 ft",2021,80,86,0,0,49.0,437.0,72.0,171.0,9
Annette,2021,67,248,0,0,49.0,437.0,72.0,171.0,10
Annihilation,2018,79,83,0,0,49.0,490.0,69.0,224.0,2
Anomalisa,2015,88,16,0,0,76.0,119.0,93.0,6.0,1
Anon,2018,54,436,0,0,49.0,490.0,69.0,224.0,11
Anonymous,2011,50,362,0,0,46.0,409.0,89.0,5.0,1
Anonymous Club,2022,68,237,0,0,63.0,296.0,81.0,51.0,10
Anora,2024,91,10,1,1,70.0,192.0,91.0,10.0,5
Another Earth,2011,66,186,0,0,46.0,409.0,89.0,5.0,11
Another Happy Day,2011,46,412,0,0,46.0,409.0,89.0,5.0,8
Another Road Home,2005,75,71,0,0,66.0,165.0,66.0,165.0,6
Another Round,2020,79,77,0,0,72.0,170.0,88.0,12.0,11
Another Year,2010,81,28,0,0,74.0,75.0,88.0,8.0,1
Anselm,2023,82,47,0,0,77.0,109.0,89.0,12.0,1
Ant-Man and the Wasp,2018,70,205,0,0,49.0,490.0,69.0,224.0,4
Anthropocene: The Human Epoch,2019,71,179,0,0,58.0,353.0,96.0,1.0,6
Antlers,2021,57,356,0,0,49.0,437.0,72.0,171.0,5
Anton Chekhov's The Duel,2010,75,64,0,0,74.0,75.0,88.0,8.0,3
Anvil! The Story of Anvil,2009,82,31,0,0,53.0,242.0,95.0,1.0,3
Anything,2018,60,369,0,0,49.0,490.0,69.0,224.0,11
Anything's Possible,2022,62,299,0,0,63.0,296.0,81.0,51.0,1
Apocalypse Now Redux,2001,92,1,0,0,66.0,123.0,72.0,79.0,1
Apocalypse Now: Final Cut,2019,92,6,0,0,58.0,353.0,96.0,1.0,2
Apocalypto,2006,68,137,0,0,69.0,126.0,85.0,15.0,2
