"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share"
"California","CA",2020-03-03,"Sanders",22,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",11,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",12,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",13,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",14,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",15,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",16,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",17,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",18,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",19,13,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",20,13,TRUE,0,1,0
