"state","candidate","col","row","actual","biden_share","sanders_share","other_share"
"CA","Sanders",16,23,TRUE,0,1,0
"CA","Sanders",17,23,TRUE,0,1,0
"CA","Sanders",18,23,TRUE,0,1,0
"CA","Sanders",19,23,TRUE,0,1,0
"CA","Sanders",20,23,TRUE,0,1,0
"CA","Sanders",21,23,TRUE,0,1,0
"CA","Sanders",22,23,TRUE,0,1,0
"CA","Sanders",11,24,TRUE,0,1,0
"CA","Sanders",12,24,TRUE,0,1,0
"CA","Sanders",13,24,TRUE,0,1,0
"CA","Sanders",14,24,TRUE,0,1,0
"CA","Sanders",15,24,TRUE,0,1,0
"CA","Sanders",16,24,TRUE,0,1,0
"CA","Sanders",17,24,TRUE,0,1,0
"CA","Sanders",18,24,TRUE,0,1,0
"CA","Sanders",19,24,TRUE,0,1,0
"CA","Sanders",20,24,TRUE,0,1,0
"CA","Sanders",21,24,TRUE,0,1,0
"CA","Sanders",22,24,TRUE,0,1,0
"CA","Sanders",11,25,TRUE,0,1,0
"CA","Sanders",12,25,TRUE,0,1,0
"CA","Sanders",13,25,TRUE,0,1,0
"CA","Sanders",14,25,TRUE,0,1,0
"CA","Sanders",15,25,TRUE,0,1,0
"CA","Sanders",16,25,TRUE,0,1,0
"CA","Sanders",17,25,TRUE,0,1,0
"CA","Sanders",18,25,TRUE,0,1,0
"CA","Sanders",19,25,TRUE,0,1,0
"CA","Sanders",20,25,TRUE,0,1,0
"CA","Sanders",21,25,TRUE,0,1,0
"CA","Sanders",22,25,TRUE,0,1,0
"CA","Sanders",11,26,TRUE,0,1,0
"CA","Sanders",12,26,TRUE,0,1,0
"CA","Sanders",13,26,TRUE,0,1,0
"CA","Sanders",14,26,TRUE,0,1,0
"CA","Sanders",15,26,TRUE,0,1,0
"CA","Sanders",16,26,TRUE,0,1,0
"CA","Sanders",17,26,TRUE,0,1,0
"CA","Sanders",18,26,TRUE,0,1,0
"CA","Sanders",19,26,TRUE,0,1,0
"CA","Sanders",20,26,TRUE,0,1,0
"CA","Sanders",21,26,TRUE,0,1,0
"CA","Sanders",22,26,TRUE,0,1,0
"CA","Sanders",11,27,TRUE,0,1,0
"CA","Sanders",12,27,TRUE,0,1,0
"CA","Sanders",13,27,TRUE,0,1,0
"CA","Sanders",14,27,TRUE,0,1,0
"CA","Sanders",15,27,TRUE,0,1,0
"CA","Sanders",16,27,TRUE,0,1,0
"CA","Sanders",17,27,TRUE,0,1,0
"CA","Sanders",18,27,TRUE,0,1,0
"CA","Sanders",19,27,TRUE,0,1,0
"CA","Sanders",20,27,TRUE,0,1,0
"CA","Sanders",21,27,TRUE,0,1,0
"CA","Sanders",22,27,TRUE,0,1,0
"CA","Sanders",11,28,TRUE,0,1,0
"CA","Sanders",12,28,TRUE,0,1,0
"CA","Sanders",13,28,TRUE,0,1,0
"CA","Sanders",14,28,TRUE,0,1,0
"CA","Sanders",15,28,TRUE,0,1,0
"CA","Sanders",16,28,TRUE,0,1,0
"CA","Sanders",17,28,TRUE,0,1,0
"CA","Sanders",18,28,TRUE,0,1,0
"CA","Sanders",19,28,TRUE,0,1,0
"CA","Sanders",20,28,TRUE,0,1,0
"CA","Sanders",21,28,TRUE,0,1,0
"CA","Unassigned",10,13,TRUE,0,0,0
"CA","Unassigned",10,14,TRUE,0,0,0
"CA","Unassigned",10,15,TRUE,0,0,0
"CA","Unassigned",10,16,TRUE,0,0,0
"CA","Unassigned",10,17,TRUE,0,0,0
"CA","Unassigned",10,18,TRUE,0,0,0
"CA","Unassigned",10,19,TRUE,0,0,0
"CA","Unassigned",10,20,TRUE,0,0,0
"CA","Unassigned",10,21,TRUE,0,0,0
"CA","Unassigned",10,22,TRUE,0,0,0
