league,year,team,city,state,lat,lng
MLB,2004,Boston Red Sox,Boston,MA,42.3601,-71.0589
NBA,2004,Detroit Pistons,Detroit,MI,42.3314,-83.0458
NFL,2004,New England Patriots,Boston,MA,42.3601,-71.0589
NHL,2004,Tampa Bay Lightning,Tampa Bay,FL,27.7634,-82.5437
MLB,2005,Chicago White Sox,Chicago,IL,41.8781,-87.6298
NBA,2005,San Antonio Spurs,San Antonio,TX,29.4241,-98.4936
NFL,2005,New England Patriots,Boston,MA,42.3601,-71.0589
NHL,2005,N/A,,,,
MLB,2006,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NBA,2006,Miami Heat,Miami,FL,25.7617,-80.1918
NFL,2006,Pittsburgh Steelers,Pittsburgh,PA,40.4406,-79.9959
NHL,2006,Carolina Hurricanes,Raleigh,NC,35.7796,-78.6382
MLB,2007,Boston Red Sox,Boston,MA,42.3601,-71.0589
NBA,2007,San Antonio Spurs,San Antonio,TX,29.4241,-98.4936
NFL,2007,Indianapolis Colts,Indianapolis,IN,39.7684,-86.1581
NHL,2007,Anaheim Ducks,Anaheim,CA,33.8353,-117.9145
MLB,2008,Philadelphia Phillies,Philadelphia,PA,39.9526,-75.1652
NBA,2008,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,2008,New York Giants,New York,NY,40.7128,-74.0059
NHL,2008,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,2009,New York Yankees,New York,NY,40.7128,-74.0059
NBA,2009,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,2009,Pittsburgh Steelers,Pittsburgh,PA,40.4406,-79.9959
NHL,2009,Pittsburgh Penguins,Pittsburgh,PA,40.4406,-79.9959
MLB,2010,San Francisco Giants,San Francisco,CA,37.7749,-112.4194
NBA,2010,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,2010,New Orleans Saints,New Orleans,LA,29.9511,-90.0715
NHL,2010,Chicago Blackhawks,Chicago,IL,41.8781,-87.6298
MLB,2011,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NBA,2011,Dallas Mavericks,Dallas,TX,32.7767,-96.797
NFL,2011,Green Bay Packers,Green Bay,WI,44.5192,-88.0198
NHL,2011,Boston Bruins,Boston,MA,42.3601,-71.0589
MLB,2012,San Francisco Giants,San Francisco,CA,37.7749,-112.4194
NBA,2012,Miami Heat,Miami,FL,25.7617,-80.1918
NFL,2012,New York Giants,New York,NY,40.7128,-74.0059
NHL,2012,Los Angeles Kings,Los Angeles,CA,34.0522,-118.2437
MLB,2013,Boston Red Sox,Boston,MA,42.3601,-71.0589
NBA,2013,Miami Heat,Miami,FL,25.7617,-80.1918
NFL,2013,Baltimore Ravens,Baltimore,MD,39.2904,-76.6122
NHL,2013,Chicago Blackhawks,Chicago,IL,41.8781,-87.6298
MLB,2014,San Francisco Giants,San Francisco,CA,37.7749,-112.4194
NBA,2014,San Antonio Spurs,San Antonio,TX,29.4241,-98.4936
NFL,2014,Seattle Seahawks,Seattle,WA,47.6062,-122.3321
NHL,2014,Los Angeles Kings,Los Angeles,CA,34.0522,-118.2437
MLB,2015,Kansas City Royals,Kansas City,MO,39.0997,-94.5786
NBA,2015,Golden State Warriors,San Francisco,CA,37.7749,-112.4194
NFL,2015,New England Patriots,Boston,MA,42.3601,-71.0589
NHL,2015,Chicago Blackhawks,Chicago,IL,41.8781,-87.6298
MLB,2016,Chicago Cubs,Chicago,IL,41.8781,-87.6298
NBA,2016,Cleveland Cavaliers,Cleveland,OH,41.4993,-81.6944
NFL,2016,Denver Broncos,Denver,CO,39.7392,-104.9903
NHL,2016,Pittsburgh Penguins,Pittsburgh,PA,40.4406,-79.9959
NFL,2017,New England Patriots,Boston,MA,42.3601,-71.0589
NHL,2017,Pittsburgh Penguins,Pittsburgh,PA,40.4406,-79.9959
NBA,2017,Golden State Warriors,San Francisco,CA,37.7749,-112.4194
MLB,2017,Houston Astros,Houston,TX,29.7604,-95.3698
