"","Code-3","Country","Code-2","Sport","Games","G","S","B","Year"
"295","AUT","Austria","AT","Luge","Salt Lake City 2002",0,0,1,2002
"296","AUT","Austria","AT","Skeleton","Salt Lake City 2002",0,1,0,2002
"297","BLR","Belarus","BY","Freestyle Skiing","Salt Lake City 2002",0,0,1,2002
"298","BUL","Bulgaria","BG","Biathlon","Salt Lake City 2002",0,0,1,2002
"299","BUL","Bulgaria","BG","Short Track Speed Skating","Salt Lake City 2002",0,1,1,2002
"300","CAN","Canada","CA","Curling","Salt Lake City 2002",0,1,1,2002
"301","CAN","Canada","CA","Figure Skating","Salt Lake City 2002",1,0,0,2002
"302","CAN","Canada","CA","Freestyle Skiing","Salt Lake City 2002",0,1,1,2002
"303","CAN","Canada","CA","Ice Hockey","Salt Lake City 2002",2,0,0,2002
"304","CAN","Canada","CA","Short Track Speed Skating","Salt Lake City 2002",2,1,3,2002
"305","CAN","Canada","CA","Speed Skating","Salt Lake City 2002",1,0,2,2002
"306","CHN","China","CN","Figure Skating","Salt Lake City 2002",0,0,1,2002
"307","CHN","China","CN","Short Track Speed Skating","Salt Lake City 2002",2,2,3,2002
"308","CRO","Croatia","HR","Alpine Skiing","Salt Lake City 2002",2,1,0,2002
"309","CZE","Czech Republic","CZ","Freestyle Skiing","Salt Lake City 2002",1,0,0,2002
"310","EST","Estonia","EE","Cross-Country Skiing","Salt Lake City 2002",1,0,1,2002
"311","FIN","Finland","FI","Freestyle Skiing","Salt Lake City 2002",1,0,0,2002
"312","FIN","Finland","FI","Ski Jumping","Salt Lake City 2002",0,1,1,2002
"313","FRA","France","FR","Alpine Skiing","Salt Lake City 2002",2,2,0,2002
"314","FRA","France","FR","Biathlon","Salt Lake City 2002",0,1,1,2002
"315","FRA","France","FR","Figure Skating","Salt Lake City 2002",1,0,0,2002
"316","FRA","France","FR","Freestyle Skiing","Salt Lake City 2002",0,0,1,2002
"317","FRA","France","FR","Snowboard","Salt Lake City 2002",1,2,0,2002
"318","GBR","United Kingdom","GB","Curling","Salt Lake City 2002",1,0,0,2002
"319","GBR","United Kingdom","GB","Skeleton","Salt Lake City 2002",0,0,1,2002
"320","GER","Germany","DE","Biathlon","Salt Lake City 2002",2,5,1,2002
"321","GER","Germany","DE","Bobsleigh","Salt Lake City 2002",2,1,1,2002
"322","GER","Germany","DE","Cross-Country Skiing","Salt Lake City 2002",1,2,1,2002
"323","GER","Germany","DE","Luge","Salt Lake City 2002",2,2,1,2002
"324","GER","Germany","DE","Ski Jumping","Salt Lake City 2002",1,1,0,2002
"325","GER","Germany","DE","Speed Skating","Salt Lake City 2002",3,3,2,2002
"326","ITA","Italy","IT","Alpine Skiing","Salt Lake City 2002",1,1,1,2002
"327","ITA","Italy","IT","Cross-Country Skiing","Salt Lake City 2002",0,1,2,2002
